Ano;Mês;Código do Regulado - ANP;Agente Regulado;Região da Coleta;UF da Coleta;Volume Coletado(L)
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;CO;DF;45000
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;N ;PA;30000
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;NE;MA;30000
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;NE;SE;30000
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;S ;PR;177290
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;S ;RS;97000
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;S ;SC;102210
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;ES;30000
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;MG;80820
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;RJ;75585
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;SP;563608
2016;1;3002581865;WJ LUBRIFICANTES LTDA - EPP;CO;MS;67736
2016;1;3002581865;WJ LUBRIFICANTES LTDA - EPP;S ;PR;149268
2016;1;3002581865;WJ LUBRIFICANTES LTDA - EPP;SE;MG;5000
2016;1;3002581865;WJ LUBRIFICANTES LTDA - EPP;SE;SP;429996
2016;1;3005276147;RS LUBRIFICANTES EIRELI - ME;CO;GO;336210
2016;1;3005276147;RS LUBRIFICANTES EIRELI - ME;S ;PR;30050
2016;1;3005276147;RS LUBRIFICANTES EIRELI - ME;S ;RS;96490
2016;1;3005276147;RS LUBRIFICANTES EIRELI - ME;SE;MG;5000
2016;1;3005276147;RS LUBRIFICANTES EIRELI - ME;SE;SP;552380
2016;1;3006294505;NORTLUB RECICLAGEM DE ÓLEOS MINERAIS LTDA;N ;AM;202755
2016;1;3006294505;NORTLUB RECICLAGEM DE ÓLEOS MINERAIS LTDA;N ;RR;13928
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;NE;BA;112817
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;NE;PB;700
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;NE;PE;28828
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;NE;RN;6500
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;NE;SE;16700
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;S ;RS;164781
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;S ;SC;17121
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;SE;ES;23660
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;SE;MG;1800
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;SE;RJ;6040
2016;1;3007769414;ECOLUC LUBRIFICANTES LTDA. - EPP;SE;SP;431392
2016;1;3008310300;T.R.O. TRATAMENTO E RECICLAGEM DE OLEOS, INDUSTRIA E COMERCIO LTDA;SE;SP;41040
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;CO;DF;900
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;CO;GO;262120
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;CO;MS;15000
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;CO;MT;103860
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;N ;PA;373051
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;N ;TO;7570
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;AL;2500
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;BA;157098
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;CE;57700
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;MA;138600
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;PB;7255
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;PE;15343
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;NE;SE;105126
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;ES;137494
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;MG;1013725
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;RJ;747250
2016;1;3017195231;PETROLUB INDUSTRIAL DE LUBRIFICANTES LTDA.;SE;SP;56850
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;CO;GO;58100
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;CO;MT;22300
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;N ;TO;4000
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;AL;34600
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;BA;160006
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;PB;89280
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;NE;PE;4300
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;S ;PR;244365
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;S ;RS;122010
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;S ;SC;82380
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;SE;MG;292339
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;SE;RJ;153400
2016;1;3023821176;PROLUMINAS LUBRIFICANTES LTDA;SE;SP;914516
2016;1;3028726412;TASA LUBRIFICANTES LTDA;CO;DF;265740
2016;1;3028726412;TASA LUBRIFICANTES LTDA;CO;GO;99790
2016;1;3028726412;TASA LUBRIFICANTES LTDA;NE;BA;47498
2016;1;3028726412;TASA LUBRIFICANTES LTDA;NE;PI;3420
2016;1;3028726412;TASA LUBRIFICANTES LTDA;S ;RS;200
2016;1;3028726412;TASA LUBRIFICANTES LTDA;S ;SC;700
2016;1;3028726412;TASA LUBRIFICANTES LTDA;SE;ES;113100
2016;1;3028726412;TASA LUBRIFICANTES LTDA;SE;MG;674470
2016;1;3028726412;TASA LUBRIFICANTES LTDA;SE;RJ;970390
2016;1;3028726412;TASA LUBRIFICANTES LTDA;SE;SP;526583
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;DF;107310
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;GO;316280
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;MS;446473
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;CO;MT;482650
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;AC;14950
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;AP;23000
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;PA;415418
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;RO;109548
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;N ;TO;60500
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;AL;89850
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;BA;673406
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;CE;229895
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;MA;104650
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;PB;126070
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;PE;417110
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;PI;70610
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;RN;110383
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;NE;SE;64780
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;S ;PR;1185706
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;S ;RS;416657
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;S ;SC;553846
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;ES;173020
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;MG;851935
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;RJ;1163214
2016;1;3046201083;LWART SOLUCOES AMBIENTAIS LTDA;SE;SP;2839898
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;CO;DF;3400
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;CO;GO;21500
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;N ;PA;10200
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;N ;TO;20300
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;AL;298156
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;BA;227590
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;CE;69650
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;MA;51120
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;NE;PB;89970
