Ano;Mês;Código do Regulado - ANP;Coletor;UF do certificado;Volume(L)
2016;1;3050045897;BRAZÃO LUBRIFICANTES LTDA;SP;425724
2016;1;3084527274;ETERNAL INDÚSTRIA, COMÉRCIO, SERVIÇOS E TRATAMENTO DE RESÍDUOS DA AMAZÔNIA LTDA;AM;774475
2016;1;3084527274;ETERNAL INDÚSTRIA, COMÉRCIO, SERVIÇOS E TRATAMENTO DE RESÍDUOS DA AMAZÔNIA LTDA;RR;33510
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;AM;8239
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;DF;29500
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;ES;28600
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;GO;2453
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;MA;31688
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;MG;95032
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;PA;26680
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;PR;222002
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;RJ;76585
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;RS;69447
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SC;80000
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SE;6122
2016;1;384068;FALUB INDÚSTRIA E COMÉRCIO DE LUBRIFICANTES LTDA.;SP;490550
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;BA;2342
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;MS;7197
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;PA;851
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;PR;313760
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;RJ;846
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;RS;741072
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;SC;243118
2016;1;3092678432;INDÚSTRIA PETROQUIMICA DO SUL LTDA;SP;42394
2016;1;3049396591;LUBRASIL LUBRIFICANTES LTDA.;AL;260084
