Ano;Mês;Operação;Região;Volume(mil m³)
2016;1;VENDA;CO;8,5260079999999991
2016;2;VENDA;CO;9,3425079999999987
2016;3;VENDA;S ;22,269503999999998
2021;5;VENDA;N ;11,91677
2022;1;VENDA;S ;22,321928
2022;1;VENDA;CO;10,64955
2016;4;DISPENSADO;CO;0,560948
2019;10;VENDA;SE;58,793487999999996
2020;1;VENDA;SE;55,993451
2020;1;VENDA;CO;12,088823
2016;5;VENDA;S ;20,560991999999999
2020;3;VENDA;CO;14,035131999999999
2020;3;VENDA;NE;12,717995
2020;3;DISPENSADO;CO;1,1457819999999999
2016;5;DISPENSADO;N ;0,39100999999999997
2016;6;VENDA;CO;11,383096
2016;6;DISPENSADO;NE;0,76364399999999999
2020;4;VENDA;N ;6,1654029999999995
2016;8;VENDA;NE;14,642541999999999
2020;5;VENDA;S ;19,056334
2020;5;VENDA;SE;43,530552
2016;9;DISPENSADO;N ;0,61561699999999997
2020;9;VENDA;CO;14,441789
2020;9;VENDA;N ;12,758367
2020;10;DISPENSADO;CO;0,91781499999999994
2021;11;VENDA;S ;25,850206999999997
2020;10;VENDA;S ;28,701822
2016;12;VENDA;CO;9,2554359999999996
2017;1;VENDA;CO;10,553469
2017;1;DISPENSADO;NE;0,92831999999999992
2020;9;DISPENSADO;S ;5,9932080000000001
2020;9;DISPENSADO;NE;1,8601829999999999
2020;9;DISPENSADO;CO;1,103057
2017;3;DISPENSADO;NE;1,375348
2017;3;DISPENSADO;N ;0,83425499999999997
2017;4;DISPENSADO;NE;1,136585
2017;5;VENDA;SE;55,761181000000001
2017;6;VENDA;NE;13,987613
2017;6;DISPENSADO;CO;0,93960499999999991
2017;6;DISPENSADO;SE;20,547543999999998
2019;2;VENDA;NE;13,685049999999999
2017;7;VENDA;N ;8,4863710000000001
2017;7;DISPENSADO;N ;1,420571
2017;8;VENDA;CO;11,822334999999999
2017;8;DISPENSADO;S ;3,6443819999999998
2017;8;VENDA;NE;17,498736000000001
2017;10;DISPENSADO;SE;13,583269999999999
2017;10;VENDA;NE;16,527892999999999
2017;11;DISPENSADO;NE;1,2365379999999999
2020;11;VENDA;S ;26,197067000000001
2018;1;VENDA;SE;49,192377999999998
2018;1;DISPENSADO;S ;3,581248
2018;1;VENDA;N ;8,5937369999999991
2018;1;DISPENSADO;N ;1,0899919999999998
2018;2;DISPENSADO;S ;3,8013049999999997
2018;3;VENDA;N ;9,1296800000000005
2018;3;DISPENSADO;N ;1,1098599999999998
2018;4;VENDA;SE;52,853541999999997
2018;5;VENDA;N ;6,4717500000000001
2018;6;DISPENSADO;SE;14,669889999999999
2018;6;VENDA;CO;13,578524
2020;12;DISPENSADO;N ;2,2762609999999999
2018;8;DISPENSADO;S ;4,5782179999999997
2020;12;VENDA;CO;12,291587999999999
2020;5;DISPENSADO;NE;1,3277679999999998
2018;9;VENDA;SE;56,81776
2018;9;DISPENSADO;N ;1,3066709999999999
2020;6;DISPENSADO;NE;1,5538589999999999
2018;10;VENDA;CO;12,083214
2018;11;VENDA;CO;10,175151
2018;11;VENDA;NE;15,5532
2021;8;DISPENSADO;N ;3,0870189999999997
2021;8;DISPENSADO;CO;1,3942399999999999
2019;4;DISPENSADO;SE;13,832435
2019;4;DISPENSADO;NE;1,023407
2019;7;VENDA;N ;8,647608
2019;7;VENDA;S ;21,879497999999998
2019;7;DISPENSADO;SE;15,407397999999999
2019;8;VENDA;NE;16,261595
2019;8;VENDA;N ;9,3272589999999997
2019;8;DISPENSADO;NE;1,2925519999999999
2019;9;VENDA;CO;15,009122999999999
2019;9;VENDA;S ;26,382662
2019;11;DISPENSADO;N ;0,89493099999999992
2019;11;DISPENSADO;NE;0,73232199999999992
2021;9;DISPENSADO;SE;17,050837999999999
2021;9;DISPENSADO;N ;3,127866
2021;2;VENDA;NE;18,672359
2021;4;DISPENSADO;NE;1,3985079999999999
2021;5;DISPENSADO;CO;1,4610189999999998
2021;11;DISPENSADO;SE;15,184987999999999
2021;11;DISPENSADO;N ;1,814133
2022;4;DISPENSADO;S ;6,160164
2022;1;DISPENSADO;NE;1,2714589999999999
2022;6;DISPENSADO;NE;0,89693199999999995
2022;6;DISPENSADO;N ;2,7841309999999999
2022;8;DISPENSADO;S ;1,001773
2022;8;VENDA;SE;7,7655119999999993
2016;1;DISPENSADO;N ;0,53803299999999998
2021;3;VENDA;CO;16,831947
2021;3;VENDA;S ;35,356487000000001
2016;2;DISPENSADO;CO;0,35014299999999998
2016;3;VENDA;SE;55,477546999999994
2016;3;DISPENSADO;N ;0,65196699999999996
2021;5;VENDA;SE;56,684441
2021;5;VENDA;NE;13,587719
2022;1;VENDA;N ;8,4196869999999997
2016;4;DISPENSADO;S ;2,1927279999999998
2016;4;DISPENSADO;NE;0,66157999999999995
2019;11;VENDA;S ;20,254892999999999
